variable,math_score_mean_pv,student_success_numeric,escs,PV3MATH,PV1MATH,PV5MATH,PV8MATH,PV4MATH,PV9MATH,PV7MATH,PV10MATH,PV6MATH,PV2MATH,science_score_mean_pv,PV3SCIE,PV1SCIE,PV7SCIE,PV6SCIE,PV9SCIE,PV2SCIE
math_score_mean_pv,1.0,0.8093747724712729,0.4671400295250575,0.9668043747149632,0.9667942267125134,0.9667910079905472,0.9667779806058211,0.9667427705668725,0.9667304253957548,0.9667130618751776,0.9666425348697107,0.9666133653038944,0.9665501573415245,0.9292751924263685,0.8867608951582662,0.8866099212918642,0.886570944598307,0.8864789440428692,0.8864264517694282,0.8862964285707566
student_success_numeric,0.8093747724712729,1.0,0.4077172526605461,0.7825351173616866,0.7826654246104607,0.7824867943966453,0.7823966617986178,0.7824041265751207,0.7821720069179905,0.7827178500337363,0.7823345548466369,0.7823317962836477,0.7823109453726191,0.7635221060891534,0.7283482411862764,0.728749857663489,0.7282769039471075,0.7285547510653313,0.7282361351387423,0.7289409783299988
escs,0.4671400295250575,0.4077172526605461,1.0,0.452438787175547,0.451405308781672,0.4516682141461266,0.45207306440974054,0.45223212983962524,0.45096595976273557,0.45150158264099155,0.45219006012823654,0.4505495053961308,0.45173579102652256,0.44882067000691817,0.4286314579548776,0.4285649557511836,0.4283492880626897,0.42857787872933895,0.42734145290780656,0.4290568554302344
PV3MATH,0.9668043747149632,0.7825351173616866,0.452438787175547,1.0,0.9273228800083626,0.9275688852319085,0.9274909365730958,0.9273792338734613,0.9275787465989817,0.9272771575106333,0.9272541792259986,0.9272616703919788,0.9271042116091001,0.8984604409204041,0.8891301482340025,0.8532997472932677,0.8538816283126756,0.8535130111823476,0.8538416458991666,0.8531233667800291
PV1MATH,0.9667942267125134,0.7826654246104607,0.451405308781672,0.9273228800083626,1.0,0.927548354980377,0.9274703921948333,0.927315388338295,0.9273540344923539,0.9273384965727154,0.9272946888400515,0.9273914314314906,0.9271076513902297,0.8983934940325459,0.8537853051186685,0.8888600695106036,0.853698299511407,0.8535982414763227,0.8535612968506336,0.8531042802339625
PV5MATH,0.9667910079905472,0.7824867943966453,0.4516682141461266,0.9275688852319085,0.927548354980377,1.0,0.9274525320360528,0.927504967883377,0.9273523134840072,0.9274365431208792,0.9271720910523954,0.9271978846435776,0.926846521381043,0.8981809333217006,0.8534428396240856,0.8534604249166634,0.8534789496190845,0.8530974918247052,0.8532606441460271,0.8530622222369452
PV8MATH,0.9667779806058211,0.7823966617986178,0.45207306440974054,0.9274909365730958,0.9274703921948333,0.9274525320360528,1.0,0.9274048389036378,0.927244517745446,0.9274778221984432,0.9271915705453356,0.9270601071394741,0.9271958809075426,0.8987827421584292,0.8540369637394108,0.8539033541381932,0.8538053245397392,0.8540015577136827,0.8539720885166993,0.8538038075093655
PV4MATH,0.9667427705668725,0.7824041265751207,0.45223212983962524,0.9273792338734613,0.927315388338295,0.927504967883377,0.9274048389036378,1.0,0.927202805142368,0.9272830130921921,0.927187158906973,0.9271854152135167,0.9271636277625471,0.897855453374911,0.8531954680473584,0.8531693730980483,0.8529294864995416,0.8531682959602904,0.8526569026249765,0.8528187729372836
PV9MATH,0.9667304253957548,0.7821720069179905,0.45096595976273557,0.9275787465989817,0.9273540344923539,0.9273523134840072,0.927244517745446,0.927202805142368,1.0,0.9272165238794411,0.9271500355287297,0.9272422527730333,0.9271991483798255,0.8983752681860155,0.853798889540308,0.8536577933683113,0.8533522041071637,0.8533497063168238,0.8886476481097201,0.8534217729825272
PV7MATH,0.9667130618751776,0.7827178500337363,0.45150158264099155,0.9272771575106333,0.9273384965727154,0.9274365431208792,0.9274778221984432,0.9272830130921921,0.9272165238794411,1.0,0.9271116190937809,0.9270153546056813,0.9272028979972107,0.8985774401896881,0.8539543856713809,0.8540229582905043,0.8889451642116503,0.8536030283947746,0.8535487888411908,0.8535664573759386
PV10MATH,0.9666425348697107,0.7823345548466369,0.45219006012823654,0.9272541792259986,0.9272946888400515,0.9271720910523954,0.9271915705453356,0.927187158906973,0.9271500355287297,0.9271116190937809,1.0,0.9272171933040783,0.9271535319888504,0.8986180463751179,0.8540118788168507,0.853843164952276,0.8538340471246012,0.8539840935912468,0.853479112235813,0.8534888573625854
PV6MATH,0.9666133653038944,0.7823317962836477,0.4505495053961308,0.9272616703919788,0.9273914314314906,0.9271978846435776,0.9270601071394741,0.9271854152135167,0.9272422527730333,0.9270153546056813,0.9272171933040783,1.0,0.9268638641580773,0.8980068824184895,0.8534561877411252,0.8532713579337664,0.8531993368534789,0.8880931901266206,0.8529645793493277,0.8530825483897536
PV2MATH,0.9665501573415245,0.7823109453726191,0.45173579102652256,0.9271042116091001,0.9271076513902297,0.926846521381043,0.9271958809075426,0.9271636277625471,0.9271991483798255,0.9272028979972107,0.9271535319888504,0.9268638641580773,1.0,0.8982015680137566,0.853640818948113,0.85350670149154,0.8534940952064375,0.853339643138711,0.8532951097722199,0.88851813791064
science_score_mean_pv,0.9292751924263685,0.7635221060891534,0.44882067000691817,0.8984604409204041,0.8983934940325459,0.8981809333217006,0.8987827421584292,0.897855453374911,0.8983752681860155,0.8985774401896881,0.8986180463751179,0.8980068824184895,0.8982015680137566,1.0,0.9538179849771767,0.9538951056020685,0.9537873570002336,0.9537752107657277,0.9537588182037694,0.9537945423258596
PV3SCIE,0.8867608951582662,0.7283482411862764,0.4286314579548776,0.8891301482340025,0.8537853051186685,0.8534428396240856,0.8540369637394108,0.8531954680473584,0.853798889540308,0.8539543856713809,0.8540118788168507,0.8534561877411252,0.853640818948113,0.9538179849771767,1.0,0.9001027453029656,0.8997119236272858,0.8995015657458892,0.8995830008326089,0.8995899020095508
PV1SCIE,0.8866099212918642,0.728749857663489,0.4285649557511836,0.8532997472932677,0.8888600695106036,0.8534604249166634,0.8539033541381932,0.8531693730980483,0.8536577933683113,0.8540229582905043,0.853843164952276,0.8532713579337664,0.85350670149154,0.9538951056020685,0.9001027453029656,1.0,0.8999613492191596,0.8996488167586429,0.8996481176048259,0.8997519980867722
PV7SCIE,0.886570944598307,0.7282769039471075,0.4283492880626897,0.8538816283126756,0.853698299511407,0.8534789496190845,0.8538053245397392,0.8529294864995416,0.8533522041071637,0.8889451642116503,0.8538340471246012,0.8531993368534789,0.8534940952064375,0.9537873570002336,0.8997119236272858,0.8999613492191596,1.0,0.8994898608462787,0.899854069933937,0.8996489875021486
PV6SCIE,0.8864789440428692,0.7285547510653313,0.42857787872933895,0.8535130111823476,0.8535982414763227,0.8530974918247052,0.8540015577136827,0.8531682959602904,0.8533497063168238,0.8536030283947746,0.8539840935912468,0.8880931901266206,0.853339643138711,0.9537752107657277,0.8995015657458892,0.8996488167586429,0.8994898608462787,1.0,0.8998806367353032,0.899751487490231
