country,n_students,percent
ESP,30800,5.01837899840976
ARE,24600,4.008185823405198
CAN,23073,3.7593850204645585
KAZ,19769,3.221049818816966
IDN,13439,2.1896751740139213
AUS,13437,2.1893493052477906
GBR,12972,2.1135848171224483
ARG,12111,1.9732983133032664
BRA,10798,1.7593654683385906
ITA,10552,1.7192836101045388
FIN,10239,1.6682851482051149
THA,8495,1.3841275841393155
CZE,8460,1.3784248807320316
BEL,8286,1.3500742980786777
PSE,7905,1.2879962981308168
COL,7804,1.2715399254412263
JOR,7799,1.2707252535259002
QAZ,7720,1.257853437263745
QAT,7676,1.2506843244088741
ROU,7364,1.1998487968925156
UZB,7293,1.1882804556948825
LTU,7257,1.1824148179045335
TUR,7250,1.1812742772230767
PHL,7193,1.1719870173883573
MYS,7069,1.1517831538882661
MNG,6999,1.1403777470736984
PER,6968,1.1353267811986756
SAU,6928,1.1288094058760656
DOM,6868,1.1190333428921504
MAR,6867,1.1188704085090853
CHE,6829,1.1126789019526055
PRT,6793,1.1068132641622566
FRA,6770,1.1030657733517557
SVN,6721,1.0950819885815584
SLV,6705,1.0924750384525144
URY,6618,1.0782997471258375
NOR,6611,1.0771592064443807
MKD,6610,1.0769962720613155
SGP,6606,1.0763445345290545
GEO,6583,1.0725970437185537
CHL,6488,1.0571182773273546
KOR,6454,1.0515785083031362
SRB,6413,1.0448981985974608
GRC,6403,1.0432688547668083
EST,6392,1.0414765765530904
MEX,6288,1.0245314007143043
ISR,6251,1.01850282854089
MDA,6235,1.015895878411846
DNK,6200,1.010193175004562
HUN,6198,1.0098673062384316
AUT,6151,1.0022093902343647
HRV,6135,0.9996024401053207
ALB,6129,0.9986248338069292
DEU,6116,0.996506686827081
CRI,6113,0.9960178836778852
BGR,6107,0.9950402773794937
SWE,6072,0.9893375739722099
VNM,6068,0.9886858364399489
KSV,6027,0.9820055267342735
POL,6011,0.9793985766052296
HKG,5907,0.9624534007664434
TAP,5857,0.9543066816131808
SVK,5824,0.9489298469720274
MNE,5793,0.9438788810970046
JPN,5760,0.9385020464558513
BRN,5576,0.908522119971845
IRL,5569,0.9073815792903882
LVA,5373,0.8754464402095988
KHM,5279,0.8601306082014651
GTM,5190,0.8456294481086577
PRY,5084,0.828358403503741
NLD,5046,0.8221668969472614
NZL,4682,0.7628587815115097
USA,4552,0.741677311713027
PAN,4544,0.7403738366485049
MAC,4384,0.7143043353580646
QUR,3876,0.6315336687609167
JAM,3873,0.6310448656117208
ISL,3360,0.5474595270992466
MLT,3127,0.5094958158450429
