column,missing_count,missing_percent
ict_resources,262885,42.83300529210876
math_self_efficacy,144231,23.500189003884355
math_anxiety,137952,22.47712401261764
math_ease,107262,17.476667796345055
math_motivation,107205,17.467380536510337
feeling_safe,96556,15.732292291248468
highest_parent_isei,72843,11.868629265622149
school_belonging,52405,8.53857634453453
bullied_index,45763,7.456366172215126
immigrant_status,44699,7.2830039886336975
grade_repetition,34865,5.6807072655700095
parent_education_years,29696,4.838499439505722
escs,25468,4.149612867905837
grade,24448,3.98341979717928
home_possessions,15730,2.5629578456164133
gender_raw,79,0.012871816262154905
student_success,0,0.0
math_success_level2,0,0.0
success_all_three_level2,0,0.0
science_success_level2,0,0.0
reading_success_level2,0,0.0
student_weight,0,0.0
student_id,0,0.0
school_id,0,0.0
country_id,0,0.0
country_code,0,0.0
science_score_mean_pv,0,0.0
reading_score_mean_pv,0,0.0
math_score_mean_pv,0,0.0
age,0,0.0
PV1MATH,0,0.0
PV2MATH,0,0.0
PV3MATH,0,0.0
PV4MATH,0,0.0
PV5MATH,0,0.0
PV6MATH,0,0.0
PV7MATH,0,0.0
PV8MATH,0,0.0
PV9MATH,0,0.0
PV10MATH,0,0.0
PV1READ,0,0.0
PV2READ,0,0.0
PV3READ,0,0.0
PV4READ,0,0.0
PV5READ,0,0.0
PV6READ,0,0.0
PV7READ,0,0.0
PV8READ,0,0.0
PV9READ,0,0.0
PV10READ,0,0.0
PV1SCIE,0,0.0
PV2SCIE,0,0.0
PV3SCIE,0,0.0
PV4SCIE,0,0.0
PV5SCIE,0,0.0
PV6SCIE,0,0.0
PV7SCIE,0,0.0
PV8SCIE,0,0.0
PV9SCIE,0,0.0
PV10SCIE,0,0.0
student_success_numeric,0,0.0
